Asset_ID,Origination_Date,Total_Advance,Total_EMI,Payment_Date,Payment_Amount,Months_on_Book,Cohort
264,2024-01-31,17160.0,20540.0,2024-02-07,860.0,1,2024-01
264,2024-01-31,17160.0,20540.0,2024-02-14,860.0,1,2024-01
264,2024-01-31,17160.0,20540.0,2024-02-21,860.0,1,2024-01
264,2024-01-31,17160.0,20540.0,2024-02-28,860.0,1,2024-01
264,2024-01-31,17160.0,20540.0,2024-03-06,860.0,2,2024-01
264,2024-01-31,17160.0,20540.0,2024-03-13,860.0,2,2024-01
264,2024-01-31,17160.0,20540.0,2024-03-20,860.0,2,2024-01
264,2024-01-31,17160.0,20540.0,2024-03-27,860.0,2,2024-01
264,2024-01-31,17160.0,20540.0,2024-04-03,860.0,3,2024-01
264,2024-01-31,17160.0,20540.0,2024-04-10,9000.0,3,2024-01
324,2024-01-29,20000.0,23645.0,2024-02-05,986.0,1,2024-01
324,2024-01-29,20000.0,23645.0,2024-02-12,986.0,1,2024-01
324,2024-01-29,20000.0,23645.0,2024-02-19,986.0,1,2024-01
324,2024-01-29,20000.0,23645.0,2024-02-26,986.0,1,2024-01
324,2024-01-29,20000.0,23645.0,2024-03-04,986.0,2,2024-01
324,2024-01-29,20000.0,23645.0,2024-03-11,986.0,2,2024-01
324,2024-01-29,20000.0,23645.0,2024-03-18,986.0,2,2024-01
324,2024-01-29,20000.0,23645.0,2024-03-25,986.0,2,2024-01
324,2024-01-29,20000.0,23645.0,2024-04-01,986.0,3,2024-01
324,2024-01-29,20000.0,23645.0,2024-04-08,986.0,3,2024-01
324,2024-01-29,20000.0,23645.0,2024-04-15,986.0,3,2024-01
324,2024-01-29,20000.0,23645.0,2024-04-22,986.0,3,2024-01
324,2024-01-29,20000.0,23645.0,2024-04-29,986.0,3,2024-01
324,2024-01-29,20000.0,23645.0,2024-05-06,986.0,4,2024-01
324,2024-01-29,20000.0,23645.0,2024-05-13,986.0,4,2024-01
324,2024-01-29,20000.0,23645.0,2024-05-20,986.0,4,2024-01
324,2024-01-29,20000.0,23645.0,2024-05-27,986.0,4,2024-01
324,2024-01-29,20000.0,23645.0,2024-06-03,986.0,5,2024-01
324,2024-01-29,20000.0,23645.0,2024-06-10,986.0,5,2024-01
324,2024-01-29,20000.0,23645.0,2024-06-17,986.0,5,2024-01
324,2024-01-29,20000.0,23645.0,2024-06-24,985.0,5,2024-01
324,2024-01-29,20000.0,23645.0,2024-07-01,985.0,6,2024-01
324,2024-01-29,20000.0,23645.0,2024-07-08,985.0,6,2024-01
324,2024-01-29,20000.0,23645.0,2024-10-28,970.0,9,2024-01
336,2024-01-29,27500.0,32720.0,2024-02-05,2045.0,1,2024-01
336,2024-01-29,27500.0,32720.0,2024-02-12,2045.0,1,2024-01
336,2024-01-29,27500.0,32720.0,2024-02-19,2045.0,1,2024-01
336,2024-01-29,27500.0,32720.0,2024-02-26,2045.0,1,2024-01
336,2024-01-29,27500.0,32720.0,2024-03-04,2045.0,2,2024-01
336,2024-01-29,27500.0,32720.0,2024-03-11,2045.0,2,2024-01
336,2024-01-29,27500.0,32720.0,2024-03-18,2045.0,2,2024-01
336,2024-01-29,27500.0,32720.0,2024-03-25,2045.0,2,2024-01
